Hindi,Mundari
बिकुरूम-और क्या जानते हैं ?,बिकुरुम-त्र्प्रोड़ोः चेनत्र्प्रःम इतुत्र्प्रना?
उत्तरी मैदान देश के अन्न भंडार हैं।,एनेटेः को जरूड़ुः मेनाः। बोओः कुन्दुड़ि पिड़ि दिसुम रेअः बाबा चाउलि को जोगाव तेअः  तनाः।
मुझे विश्वास है कि इस उदाहरण से प्रेरणा लेकर अन्य सक्षम देशवासी भी अपने-अपने गांव एवं नगर के विकास के लिए योगदान देंगे।,अइञ विश्वास तनञ चि ने लेकान जोनोका कोआते एटअः सक्षम होड़ोको अकोअः हातु ओड़ोः शहर रेअः हरा इदि रे योगदान को ओमेअः।
"कोई बलुआ निकाल रहा था, कोई तलवार, कोई बड़ी टांगी ही निकाल रहा था।","ओकोनिः कपिइ उड़ङजदा, ओकोनिःतरउड़ि, ओकोनिःदो हड़म हकेगेए उडुङजदा ।"
ग्रामीण क्षेत्रों मे राजा मुंडा मानकी को भुमि कर व लगान वसुलने के लिए रखे गए।,हातु दिसुम रे राजा मुण्डा मड़ाकी ओते अड़ि रअ चंदा च माल लगान वसुल मेन्ते जोगव ले कोअ।
बिर बोंगा हगा तन-जंगल देव हमारे भाई हैं,बिर गे तबु मुतुल कुंटा
इनमें यदि और बढ़ोतरी हो तो और भी अच्छा।,नेआको रे ओड़ोः गे सानाडगि होबाजान रे ओड़ोःगे बुगिना।
मैं जानता था कि हमारे Healthcare Workers देशवासियों के टीकाकरण में कोई कोर-कसर नहीं छोड़ेंगे।,अइत्र इतुआन ताइना चि अबुअ: Health care workers को दिसुम होडोको नातेन रानू टीका ओओमरे जेतन रकम गलिपचि काको बगेआ।
अतिंम चरण में गंगा और ब्रह्मपुत्र समुद्र में विलीन होने से पहले मेघना के नाम से जानी जाती हैं।,टुंडु चन्डंग रेअः गंगा ओड़ोः ब्रह्मपुत्र जलाकार रे बोलो सिदा रे मेघनाअः नुतुम तेको इतुवाना।
दुनिया का अनुभव हमें बहुत कुछ कह रहा है।,दिसुम रेया ओनमान अइंञ बेसे काजि सनङ ताना।
और किसी तरफ में आप लोग पता लगा रहें कि नहीं ?,ओड़ोः जा सअ:कोरेपे सिड़िव्बड़ा जदा चि अउरिगे ?
"अब जो पत्र मेरे सामने है, उसमें, दो बड़े फोटो हैं।","नःअ देा नेआ चिट्टी आञाः समङ रेआ, ऐना रे, बारिआ बोडे फोटो मेनाः।"
कल सुबह तो खाना सब्जी तैयार किया कि मां-बाप के घर के भगने का मन बनाया।,गपा तेरे मंडी उतु तेयर केद चि एंगा अपु ओड़अः ते निरे मोने केदा।
"जयपाल सिंह ने अपनी मां से पूछा मां मुझे राजनीति में जाने की इच्छा है, आपकी क्या राय है?","आयुब दो राँची रूआड़ा सोमय रे जयपाल सिंह एंगाबे के कुलि किआ- ""माँ गा, आइङ राजनीति रे सेनो सानाङ तानाइङ, आम चनाम मेन जादा?"
मैं एक बात आपसे पूछना चाहता हॅू।’’,मित्र्प्रद् कजिड. कुलिलेमा?”
सन् 1857 को बैरकपुर सैन्य छावनी से शुरू सैनिक विद्रोह की आग देश भर के सैनिक छावनियों तक पहुंच चुकी थी।,सन् 1857 रे बैरक पुरआते एटेः लेन विद्रोह सेंगेल लेका गोटा दिसुम रे पसरव जना।
"डेमका-‘‘चलो तब, अब हमलोगों को सो जाना चाहिए-कल सुबह हमलोग देखेंगे, जिन जिन चीजों को तुमलोग ले जा सकते हो उसे ले जाओ-हमलोग तुमलोगों को सबकुछ जिम्मा कर देंगे-हमलोग नहीं लेंगे-इस गांव में इस तरह की चीजों को ले जाने वाला कोई नहीं है।","डेमका, ‘‘मर तोबे नाअःदो दुड़ुमतेबुअ-गपा सेतअःबु लेलेअ, ओको ओको चीजिकोपे इदि दड़िअ इदीपे-सोबेनअःले जिमा’पेअ-अलेदो कालेअः-ने हतुरे एनाको नमे लेकन होड़ो जेतए बंगअःइअ।"
तुम्हारे साथ मुश्किल ही मुश्किल है ।,आम लोः दो जाला गे जाला।
"मेरे प्यारे देशवासियो, आज जब हम नेताजी सुभाष चन्द्र बोस के बारे में चर्चा कर रहे हैं, और वो भी ‘मन की बात’ में, तो मैं आपके साथ नेताजी की जिंदगी से जुड़ा एक किस्सा साझा करना चाहता हूँ।","अञअः दुलड़ा दिसुम रेन होड़ोको,तिसिड. जब अबु नेताजी सुभाष चन्द्र बोसअः बरि रेबु जगर तना,ओड़ोः एनओ ‘मोन रेअः कजि‘ रे दो अइड. अपे लोः नेताजीयअः जीनिद्ते जुड़वकन मियद् किस्सा उदुबइड. सनड. तना।"
हमदोनों किसको और पूछेंगे ?,त्र्प्रोकोए त्र्प्रोड़ोःलड. कुलोत्र्प्र?
भोर होने के बाद बुरूमा के आदमी और रोड़ो के आदमी गिरजा घर के अन्दर चले गये।,"अङजनचि, बुरुमा होड़ोको अद् रोड़ो होड़ोको गिरजारेको बोलोजना।"
"वर्षण के रूप तथा प्रकार में ही नहीं, बल्कि दसकी मात्रा एवं ऋतु के अनुसार वितरण में भी भिन्नता होती है।","वर्षण रेअः मुटन ओड़ोः कोतोः बारिगे का, मेनदो नेअः ओड़ोः रितु रेअः लेकाते हनाटिंङ कोरेः विपिनगा को मेनाः।"
अञः गेल एकड़ ओते मेनः मिद् सिरिमा रे मिस्गे इञ् चासा जदा।,"मेरी 10 एकड़ जमीन है, साल में एक ही बार खेती करते हैं।"
ध्वनि के कम्पन कर्ण पटह को कंपित करते हैं।,सड़ा रअः कम्पन कर्ण पटह के कंपितएआ।
इस तरह से असुरों की दशा हो गई तब सिङबोंगा तुड़ी धागे से और मोरे की रस्सी से स्वर्ग की ओर प्रस्थान कर रहे थे उस समय असुर पत्नीयाँ सिङबोंगा को पकड़ लीं।,"नेका दसा होबा जना चि सिंगबोंगा तुड़ि सुतम बदि बयर ते सिरमाए रकब तन तइकेना, इमतुङ गे असुर कुड़ि को सब किआ।"
"किसी भवन के निर्माण के समय उसकी दीवारों में, उस भवन की ऊँचाई से अधिक लम्बाई की धातु की छड़ स्थापित कर दी जाती है।","जा भवन के बइ इमतङ एनारअः भिति कोरे, एन भवन रअः सलंगि ते अदिका जिलिंग धातु रअः छड़ स्थापितोः तना।"
"रूइटोला- आज या कल अपने भाइयों से डोंका से पूछवायेंगे, इसके बाद मेरे भाईयों के पास किसी भी दिन हमदोनों खबर भेज देंगे। दोनों तरफ के भाईयों के सहमति के बाद गांव जाना चाहिए और उन लोगों के द्वारा भरोसा देने के बाद सब बनेगा।","रूइटोला - तिसिङ, कारे, गपा अमअः हगाको डोंकालङ कुली रिकाइअ; एन तयोमते अइञइः हगाको तअः जा हुलङगेलङ कुलतइअ। बरन सअःरेन हगाको मनजुरके’तेए सेनोःका हतुते, अद् इनकु बोरसाके’तेदो, सोबेनअः बइओअ।"
(25) जाति के अंदर राजनीति,(25) जाति रेअः बितर राजनीति
उन्हें अंग्रेजों ने जिंदा दफन कर दिया था।,इनिः के अंग्रेज को जीद गे को तोपा लिःअ।
भाषा को लेकर अलग राज्या बनाना उचित नहीं है।,बकंड़ा (भाशा) लेकाते ओ बिनगा राइज बाइ उचित का ताना।
"मेरे प्यारे देशवासियो, देश के अलग-अलग हिस्सों में मॉनसून तेजी से अपना रंग बिखेर रहा है।","अञअः दुलड़ान दिसुम रेन होड़ोको, दिसुम रेअः बिनगा-बिनङा टांव कोरे मानसून जोर ते अपनअः रंगा पिनतर जदा।"
लेकिन बाघ भालूओं के संकट में वे साहस कर सकते हैं या साहस नहीं कर सकते हैं ?,मेनदो कुला बुड़ि रअः हाड़ाबीड़िरेको डीड़ि दड़िअ चि काको डीड़ि दड़िअ ?
असुरो को समझाने बुझााने के लिए तैयार हो कर भेजेगेंः,असुर कोे बुजव मेनतेे किन सम्पोड़ोना अद कुलिआ:-
मैं जल्दी-जल्दी चाय पी सिगरेट पिया और घर के लिए रवाना हुआ ।,आर सेकेड़ा-सेकेड़ा चाय सिगरेट कोञ नू जोम केद चि ओड़ाञ सेनोः ताना।
"बुढ़िया-‘‘मैं कही थी, तांती लोगों का बनाया हुआ खाना को खाने वाला आदमी का जाति चला जाता है और उनको तांती हो गया है कहके लोग कहेंगे, लेकिन बहुत दिनों तक भार ढोना छोड़ने वाला आदमी ढो नहीं सकने पर, उनका कंधा तांती हो गया है कहके कभी नहीं कहेंगे।","बुड़िअ, ‘‘अइङ कजिलअः, पेंड़ंएंकोअः जुटिद् जोमकेद् होड़ोअः जति सेनोअ, अद् इनिः पेंड़ंएअकनाए मेनते होड़ोको कजिअ; मेनदो इसु दिन मेनते गोगोः बकेगेद् होड़ो काए गोः दड़ितनरे, इनिअः तरन पेंड़ंएंअकना मेनते चिउलाओ काको कजिअ।"
"क्या online उसकी मार्कशीट के आधार पर, ऑनलाइन उसकी मार्कशीट के आधार पर यह तय हो कि हमें 500 लोगों की जरूरत, पहले 500 लोग कौन है।","चिनअः ओनलाइन एना रअः मार्कशीट रअः लेकाते, ओनलाइन एना रअः मार्कशीट रअः लेकाते नेडाओका चि आबु मोड़ेआ सए होड़ो कोअः जरुड़ु, सिदा मोड़ेआ सए होड़ोको ओकोन को तनको।"
"गोमके-आपदोनों विनती जल्दी सीख रहे हैं, या आलस कर रहे हैं ?","गोमके-बिनति इतुन दोबेन सेकड़ाजदा, चिबेन लनडिअतना ?"
लुकि और पेलोंग खुशी-खुशी हंडी/घड़ा से पानी लाने चुंआ के पास गई ।,लुकि आद पेलोंग रसिका ते बानडा होन को इदि केआते डाड़ि तेकिङ सेनोः जना।
"इस बैठक में माननीय साहबों निकोदीम केरकेट्टा,  प्रो. सुलेमान बडिंग्, नवीन मुण्डु, डाॅ. मनसिध्द बड़ायऊद और राँची से, सिस्टर जोसफिन तिड़ु संत तेरेसा बा. उच्च विद्यालय बंदगांव से, सुश्री दयामनी टुटी और वी.दत्त पाठक उच्च विद्यालय मरंगहादा से, पीटर इम्मानुएल भेंगरा निर्मला उच्च विद्यालय डोड़मा से, सोमा मुण्डा बिरसा उच्च विद्यालय चलागी से, डी. लगोरस संगा  और गौड़बेड़ा से पतरस तिड़ु पेरका से पहुँचे।","ने दुनुब रे मइनअन गोमके निकोदीम केरकेट्टा,  प्रो. सुलेमान बडिंग्, नवीन मुण्डु, डाॅ. मनसिध्द बड़ायऊद ओड़ो: राँची आते, सिस्टर जोसफिन तिड़ु संत तेरेसा बा. उच्च विद्यालय बंदगांव ते, सुश्री दयामनी टुटी ओड़ो: वी.दत्त पाठक उच्च विद्यालय मरंगहादा ते, पीटर इम्मानुएल भेंगरा निर्मला उच्च विद्यालय डोड़मा ते, सोमा मुण्डा बिरसा उच्च विद्यालय चलागी आते, डी. लगोरस संगा गौड़बेड़ा ते ओड़ो: पतरस तिड़ु पेरका तेए: तेबअ: लअ:।"
कोई मकान अथवा भवन सुरक्षित स्थान है।,जान ओड़ाः च भवन सुरक्षित टयद् तनअः।
बन्डुआ - वे पूजा पाठ करते हैं कि नहीं ?,बनडुअ - बोंगा दोको बोंगातना चि का ?
क्या आप जानते हैं कि उन्होंने ऐसी कायरतापूर्ण कार्यवाही का सहारा क्यों लिया?,चिअः अम इतुअना चि इनकु नेका बोरोअन कजि कमि रअः देंगा चिअ को इदिलअः?
मेरी बड़ी दीदी की शादी थी।,अइङ: मरङ दइअः अड़न्दि तइकेना।
"बुढ़े आदमी लोग बैठ विश्राम करने के लिए जमा हुए जगह पर और बुढ़ियाएं एक जगह पर बैठ विश्राम करने पर और उस जगह पर युवक या युवतियों के जाने पर, कुछ भी ज्ञान की बातें मिल सकता है।’’","हड़म होड़ोको जरु मेनतेको हुनडिनजन तअःरे, ओड़ोः बुड़िअको मिद् तअः-रेको जरूजनरे, अद् एन तअःरे जा दंगड़ा, कारे दंगिड़ि सेनजनरे, मिअद्रेओ सेंड़ां कजिइ तोड़े जो’मां।’’"
2 साल बाद इस तरह की सभी संस्थाओं का विलय ठक्कर बापा भारतीय आदिवासी सेवक संघ बनाया गया।,"बार सिरमा तायोम ते ने लेकान सोबेन संस्था को मेसा केआते ठक्कर बापा सागाते “भारतीय आदिवासी सेवक संघ"" बाइजाना।"
"इस instrument की धुनों को सुनना पिछले 50 और 60 के दशक से ही दुर्लभ हो चुका था, लेकिन, जॉयदीप, सुरसिंगार को फिर से Popular बनाने में जी-जान से जुटे हैं।","ने insteument सुरसिंगार रआ धुनको के आयुम तयोम 50 बर हिसि गेलआ ओड़ो: 60 अपि हिसि दशक ते नेआ को अदो जिनिस बइआ कनताइना, जाॅयदीप, सुरसिंगार के ओड़ो: मिसा popular फेमास बबाइ रे जी-जान ते जुटावा कना।"
"धर्म ही मनुष्य को सही रास्ता दिखा रहा है, और विश्वास नहीं करने से धर्म ही मनुष्य सबका विनाश कर रहा है।","धरम गे मनोवा होन कोए होरो जअ बुअ, आद कम विश्वास रे धरम गे होड़ो होन कोय नाश जअ कोअ।"
कहते हुए नन्दु ने बच्ची को अपने पास कुर्सी में बैठाया।,मेनजालोः नन्दु हाड़ाम होन आएः जापाः रेआः कुरसी रे दुब किःआ।
"हमारी पृथ्वी चारों आरे से वायु की घनी चादर से घिरी हुई है, जिसे वायुमंडल कहते हैं।","अबुआ धरती बियुर आचुर होयो रेआ मोयोद बारकि ते दालोब कना, एना के होयोमोडोल बु मेताः।"
"इतना कहने के बाद, उस बलुआ को पकड़कर, एक बड़े से पत्थर में जोर से वार किया, बलुआ पूरा भोथरा हो गया।","निमिनङ कजिकेद्ते, एन कपि सब्केद्ते, मिअद् मरङ दिरि जो’रतेए मअःलअः; कपि बराबरिते बुचाउतरजना।"
उसके लिए लुमबुर ने और एक जगह अगुवाई करने की इच्छा की है।,इनिः मेनते लुमबुर ओड़ोः मिद्तअःरे दुतमए मोनेअकदा ।
"मेद्सोबो-एक बात पोता, मुझसे मत कहो, बहुत सारी बातें मुझसे कहो, बहुत सारी बातें कहने के कारण से, कुछ भी मूल्य तुमसे मांगने पर, तुम मुझको दोगे, लेकिन मैं एक पैसा भी  तुमसे खर्च नहीे करवाउंगी।","मेद्सोबोः, मिअद्गे दा अलोम कजिअइञअ; पुरअःगे कजिअइङमे; पुरअःगे कजिकेद् रअःते, जाएगे गोनोङए असिमेरेदो, अइङ ओमअइअ; मिद् एसाओ काइङ करचा रिकामेअ।"
"लेकिन मैं आज सिर झुका कर के कहना चाहता हूँ, हिंदुस्तान का कोई ऐसा इन्सान नहीं होगा, जिसके दिल में देश के जवानों के प्रति जो अप्रतिम प्यार है, सेना के प्रति गौरव है, सुरक्षा-बलों के प्रति गौरव है।","मेनदो आईंग तिसिंग बोओ तुरूब केआते जगरेंग सना तना, हिंदुस्तान रेन जान होड़ोयो ऐनका बंगाई, ओकोया दिल रे दिशुम रेन दंगड़ा कोः मेनते दुलड़ बनो, सेना को मेनते गौरव मेना, सुरक्षा-बल को मेनते गौरव मेना।"
देश अपना कर्ज चुकाने का एक छोटा सा प्रयास करेगा।,दिसुम अएअः रिंडि हल रेअः हुडिङ नोः प्रयास एआ।
"इसलिए रास्ते में उनको सरसों के बीजों को चुनने में व्यस्त रखने के लिए, रास्ते में सरसों के बीजों को छींटते हुए गिराते हैं।","एना मेनते होरारे इनिःमनि जङ हलङ हलङतेए बुलवोःका मेनते, होरारे मनि जङको हेरेअ।"
भीतर जाकर मछली ने सारी गीली मिट्टी को अपने मुँह में दबोच लिया ओर बाहर को चल पड़ी।,रघो बोअड़ पताल तेः बोलो जन।
"भारतीयों को शिक्षित, “सभ्य”, और अंग्रेजों की सोच के मुताबिक “अच्छी प्रजा” बनाने के लिए कौन-से कदम उठाए जाने थे?",भारतरेनको सेंड़ान ‘‘सभ्य’’ आद् विलायति होड़ोकोअः उड़ु मेनअःलेका ‘‘बुगिन प्रजा’’ बइ मेनते ओको चडड. सेन अयर लगातिड.अ होनड. ?
भारत में भी ये चुनौतियां तेजी से बढ़ रही हैं।,भारत रेओ नेअ: बलाएको सेकेड़ा ते हरा इदिओ तना।
पहले हमारे घरों में परिवार के बड़े ये श्लोक बच्चों को याद करवाते थे और इससे हमारे देश में नदियों को लेकर आस्था भी पैदा होती थी।,सिदा अबुअ: ओड़ा कोरे ओड़ा रे हड़मको नेअ: श्लोक होनको के को टोर रिका जद को  तइकेना  ओड़ो: नेअ: ते अबुअ: दिसुम रे गाड़ा को रअ: मेनते माइन जी रे उपनओ तइकेना ।
सभी मामलों में इसी तरह काम किया गया है।,सोबेन मामलाको रे नेआ कमि गे होबाआकाना।
(5) आग देवता - आग नहीं रहने पर ठीक नहीं होगा।,(5) सेंगेल बोंगा - सेंगेल का तइ को रेओ का ठिकिओ तना।
भारत में भी लोग अब इसके लिए आगे आ रहे हैं।,भारत रेओ होड़ोको नएःदो नेअः मेनते अयर तेको हिजुः तना।
"गोमके ने कहा - ‘‘उसके अन्दर कोई नहीं है, अपने आप से घूम रहा है, झूलने वाला यंत्र ही ऐसा बना हुआ है।’’","गोमके मेनकेदा, “जेतनिः बंगअःइअ; अएः तेगे बियुरतना; हुंचुतन कालगे एनका बइअकना।”"
"इसके अतिरिक्त इन जंगलों में कई प्रकार के पक्षी, चमगादड़ तथा कई रेंगने वाले जीव भी पाए जाते हैं।","नेअः ते एटअः ने बिर कोरे चिमिन किसिम रेन चेंड़ेको, बदुलि ओड़ोः चिमिनङ टुनङएन लेकन जिउ ओको नमोः तना।"
"आइए, फिर से याद करें कि वे कौन-कौन से लोग थे, जो खरीदने और बेचने की इस प्रक्रिया में सम्मिलित थे।","हिजुपे, ओड़ोः मोसा पहम लेआ चि इनकु ओकोय-ओकोय होड़ो को ताइन केना,  ओकोन को किरिंङ ओड़ोः अकरिंङ रअः ने तरिका रे  मेसा ताइन केना।"
मुखियाः पुरः मइन तइन तना।,मुखिया की इज्जत अधिक होती है।
अगर हम थोड़ी और कोशिश करें तो हम इस बारे में भी जान सकते हैं।,जोदि अबु ओड़ो गेबु कोशिश नोःया दो अबु नेअ बारे रेयो बु इतु दड़िअ।
"मतुरा - चलो भाइया, बात को निकालने में मेरा मदद करो, किन किन जातियों का नाम मैंने नहीं लिया है ?","मतुरा - मर, दा, कजि उड़ ङनम दंगा 'इङ, ओको ओको जतिको काइङ नुतुमलेद्ओअ?"
रूइटोला- तुम्हारे साथ नहीं जीता जा सकता है।,रूइटोला - अम लोःका दड़िओअ।
"इतने बातो में ‘‘बोड़ो भुनजि’’ का अर्थ- रोग छींट ने पर धूप में देमता चिंटि व अण्डे झाड़ देने पर वे गर्मी से तप कर मर जाते हैं उसी प्रकार मानव भून कर मर जायेगे  ‘‘बड़म बोंगा’’ कहे जाने पर ‘‘रोग देने वाले बोंगाओ में आप सबसे बड़े हैं, ‘‘रोग बोंगा’’ कहे जाने पर सीधे सीधे मालुम होता है, ‘‘सिरमा ठाकुर’’ कहे जाने पर आप आसमान में ठाकुर जैसे है","निमिनङ कजिकोरे, ‘‘बोड़ो भुनजि’’ रअः मनेः रो’ग हेरकेरे जेटेरे हउको कोटाकेद्को लेकागे मनोअको अतागोजोःअ; ‘‘बड़म बोंगा’’ मेनजनरेः अमरो रो’ग बोंगाकोरेम मरङ उतराः ‘‘रो’ग बोंगा’’ मेनजनरे सो’जेगे मुनडिओअः ‘‘सिरमा ठकुर’’ मेनजनरेः अम सिरमारे ठकुर लेका मेनअःमा।"
सोंसोबोंगा असुर कहानी जितने भी चिड़ियॉ दूत बनकर गए थे।,सोसोबोंगा असुर कानि रे चिमिनुङ गे दुतमदार चेंड़े को तइकेना।
थोड़ी देर मे तो धरमा जाग गया।,हुडिङ हेड़ा रेदो धरमा एयोन जना।
"एक दिन एक युवक उनसे पूछ रहा है-‘‘ऐ, दादा जी, किस लिए आप पूजा करने के जगहों में जा रहे हैं ?’’","मुसिङ मिअद् दंगड़ा कुलि-जअःइअ, ’’अतेअ, अजा, चेकाते बोंगातनको तअःम सेना?’’"
सतीश जी ने झारखंड के एक Aloe Vera Village की ओर मेरा ध्यान दिलाया है।,सतीश जी झारखण्ड रे मियद Aloe Vera Village सअ: आञा ध्यान रचअ: कदा।
"इस देश की विविधता के साथ भी ऐसा ही है जितना जाने उतना कम है। हमारी biodiversity भी पूरी मानवता के लिए अनोखा खजाना है जिसे हमें संजोना है, संरक्षित रखना है, और, explore भी करना है।","ने दिशुम रआ विविधता रआ साथओ नेका गे मेना चिमनांङ इतुकेदा इमिनङ कोम मेना। अबुआ biodiversity ओ पुरा मनोवा कोआ मेनते अनोखा खजानाा तनाः एना को अबु जोगवया मेनाः, संरक्षित जोगव मेनाः, ओड़ोः, explore ओ रिकाया मेना।"
बुधुआ-महुआ का शराब इस तरह खूब पी गया कि मद्य ?,बुदुअ- अरकि एनका जो’रतेए नूकेदा चि इलि?
बाद में वे लोग भी मिलजुल कर खाना खाए।,तयोमते इनकु मिसाते जोमेआ को जोम केदा।
हो सकता है कि जब आप ये सोचें कि आखिर professor आयुष्मान हैं कौन?,होबा दाड़िओअ: चि चिमतङ अपे नेअ: उड़ुयेपे चि आखिर professor आयुष्मान तनि ओकोए?
विद्या की आराधना का अवसर माना जाता है।,सेंडा रेअ: बोंगा अवसर मनातिङ‌ओ तना।
इसके बाद गाना शुरू किया और वे नृत्य कर रहें हैं।,एनतेए दुरड. एटेःकेदा अद्को सुसुनतना।
केवल 12 गाँव के लिए नहीं परन्तु पूरे देश में शांति रहे इसलिए उसने अपनी प्राण न्यौछावर कर दी।,चिअःचि गेल बरिअ हातु (12) बारि दो का मेन् दो गोटा दिसुम सलसांत तइनाःका मेन्ते जी ए ओम केदा।
इसी तरह से खाने पीने और कामों को नहीं चला पा रहे हैं।,एन लेकाते जोम नू ओड़ोः कमि काको चलव दड़ितना।
पर अब बुद्ध की प्रतिमाएँ बनाई जाने लगीं,मेन्दो नअः बुद्धअ: मुरतु बइ एटेए: जना
उस रात को पूरे घर वाले खाना नहीं खाये और दूसरे घरों की सभी युवतियां खाना नहीं खायीं।,"एन अयुब गोटा ओड़अः रेनको मनडि काकोजना, अद् इसु एटअः ओड़अः कोरेन दंगिड़िकोओ मनडि काकोजना।"
बन्डुआ-उनका बेटा ने क्या क्या बात किया ?,"बनडुअ - होनते कोड़ा, दा, चेनअःकोए जगरलअः ?"
“मुझे ख़ुशी है कि अब एलीफेंटा के गाँव और एलीफेंटा की गुफाएँ बिजली से रोशन होंगे।”,आञकेे रसिका मेना: चि नअ: एलीफेंटा रेअ: हातु ओड़ो: एलीफेंटा रअ: गुफा बिजलि ते मसकलो:आ।
"इसके बाद झाड़ियों के बारी में छिद्र बनाकर नोटों ने तीर चलाया,","एनतेदो जटा पोंकाकेद्ते, नोटो ततुइङकिःअ।"
कंपनी की आमदनी,कम्पनिअः कमइ
इसके बाद एक दूसरे को अभिवादन किया।,एनतेको जोपोअर जना ।
"तीन दिनों बाद वह मूल्य मांगने गया तब, मारो साले को कहा जा रहा था और उसे चाबुक से मारा गया और उसे धकेल के भेज दिया गया।","अपि मा लेका तयोमते गोनोङ  आसिइ सेनकेनादो,मरो सलाको,मनोःतना,अद्को हड़ंसाबड़ाकिअःअ,अद्को सोलकाकुलतअःइअ।"
तो फिर लोग इतिहास को तारीखों से जोड़ कर क्यों देखते हैं?,दो होड़ोको इतिहास के तारिकि ते जोटोः केअते चनाः मेनतेको लेलेअ?
"प्रायद्वीपीय पठार की एक विशेषता यहाँ पायी जाने वाली काली मृदा है, जिसे ‘दक्कन ट्रैप’ के नाम से भी जाना जाता है।","प्रायद्वीपीय (पठार) रेअः मियद जरूड़ुः तेअः नेतअः रे नमोः तेअः हेन्दे हस्साः ,मृदा तनाः, ओकनाः (दककन ट्रैप) रेअः लुतुम तेओः को इतुवाना।"
कुमार बोल की यह है आप लोग की नई दुल्हन तो।,कुम्बर कजिअ को तना चि नि दंङ अपिअ नवा कोनेअ दो।
"लेकिन किसी गढ़े में कुछ भी नहीं पाये। वह बाजार का दिन था, खोजते फिरते समय कुछ बाजार जाने वाले आदमियों ने उनको देखा और उन्होंने पूछा क्या ढूँढ़ रहे हो।","मेनदो जेता लो'ररे जेतनअः काको नमकेदा। एन हुलङ पीटिरअः दिन तइकेना, अद् दंड़ांबड़ा-तन, दिपिलि तरामरा पीटि होड़ोको लेलकेद्‌कोअ, अद् चेनअःपे दंड़ां-तना मैनतेको कुलिकेद्कोअ ।"
आपने World University Games में अपने प्रदर्शन से हर देशवासी का सिर गर्व से ऊँचा कर दिया है।,आपेे World University Games रेअ: प्रदर्शनते गोटा दिसुमरेन होड़ो को पुरा:गे रसिका केदा कोआ।
"Mygov पर भेजिए, NarendraModiApp पर भेजिये ।","Mygov रे कुलेपे, NarendraModiApp रे कुलेपे।"
छोटा लड़का बोरा से निकल गया।,लिटा कोड़ा बोरा ते उडुङ जना।
मुण्डारी भाषा की शिक्षा का शुरुवात (कक्षा 01 से कक्षा 05 में),होड़ो जगर रेअ: पढ़व एनेटे: (कक्षा 01 आते कक्षा 05 रे)
"पिताजी- ""इस नए किले को राजा मेदिनी राय ने बनवाया था।","अपुते - ""नेअः नवा किला राजा मेदिनीराय बइ रिका लअः।"
"उसको काटते समय वह इस तरह करता है, खेत में घुस जाने के बाद, काटते समय बांया पैर का पहला कदम यथावत रहता है और झुकने के बाद, धान को घूमते हुए काटने के साथ, दाया पैर से चक्कर लगाता है और बांया पैर तो केवल तलुवा का चक्कर लगाता है।","एना इरतनरेए नेकाएअ, लोयोड.रे बोलोजनचि, इरतनरे लेंगा कटादो सिदा तेगाकेद तअःरेगेए तइ रिकाएअ,अद् उंगुदेनजनचि, बबा इर बियुरजद लोः जोम कटाए बियुररेअ, अद् लेंगा कटादोे तलका बारिइ बियुररेअ।"
रखना होगा ख्याल बचपन का हर पल हर दम।,जोगाओ लागातिङा खेअल  हुड़िङरअको सोबेन सोमाए।
"घी, अनाज और कभी-कभी जानवरों की भी आहुति दी जाती थी।","गोतोम, चसाए जंग ओडोः मिसा-मिसा जानवरकोअ:ओ दांडे ओमो: तन तइकेना।"
कल नवरात्रि का पहला दिन है।,गपा नवरात्रि रेअः सिदा हुलङ तना।
"हमने तय किया था देश को खाड़ी के तेल पर हम गुजारा करते हैं, झाड़ी के तेल की ओर कैसे बढ़ें, 10 प्रतिशत इथेनॉल ब्लेडिंग का सपना बड़ा लगता था।","अबु जगर गोटा लअ: चि दिसुम के खाड़ी रअ: सुनुम तेबु गुजाराया, झाड़ी रेअ: सुनुम मुलिद चिलका बु सेनेया, 10 प्रतिशत इथेनॉल
ब्लेडिंग रअ: उड़ु:-सनाङ इसु मरङ अटकरो: तन तइकेना।"
वहा भी उनका जोरदार स्वागत किया गया।,नेताः रेओ आएआ बुगिलेका माइनान दारोम होबाजाना।
1765 से पहले कंपनी ब्रिटेन से सोने और चाँदी का आयात करती थी और इन चीजों के बदले सामान खरीदती थी।,1765 ई. ते सिदा कम्पनिविलायत ते सामड़ोम ओड़ो चांदिको अउ जद् तईकेना आद् ने चीजकोअः बदलि रे जिनिस को किरिड.जद् तईकेना।
